content_key,level_code,type,script_ja,script_ko,question,choice1,choice2,choice3,choice4,answer
jlpt.n5.listening.0001,N5,課題理解,A:「{明日|あした}のパーティー、{何|なに}を{持|も}っていきましょうか。」B:「えーと……。{飲|の}み{物|もの}はわたしが{買|か}います。{田中|た|なか}さんはくだものをおねがいします。」A:「はい、わかりました。りんごを{持|も}っていきます。」,A: 「내일 파티에 무엇을 가져갈까요?」 B: 「음…… 마실 것은 제가 살게요. 다나카 씨는 과일을 부탁해요.」 A: 「네 알겠습니다. 사과를 가져갈게요.」,{田中|た|なか}さんは{何|なに}を{持|も}っていきますか。,のみもの,くだもの,パン,おかし,2
jlpt.n5.listening.0002,N5,ポイント理解,A:「{山田|やま|だ}さん、{明日|あした}{何時|なん|じ}に{会|あ}いましょうか。」B:「そうですね、{映画|えい|が}は{十|じゅう}{時|じ}からですから、{九時半|く|じ|はん}はどうですか。」A:「{九時半|く|じ|はん}ですね。じゃあ、{駅|えき}の{前|まえ}で{会|あ}いましょう。」,A: 「야마다 씨 내일 몇 시에 만날까요?」 B: 「글쎄요 영화는 10시부터니까 9시 반은 어때요?」 A: 「9시 반이군요. 그럼 역 앞에서 만나요.」,{二人|ふたり}は{何時|なん|じ}に{会|あ}いますか。,{九|く}{時|じ},{九時半|く|じ|はん},{十|じゅう}{時|じ},{十時半|じゅう|じ|はん},2
jlpt.n5.listening.0003,N5,即時応答,A:「すみません、これ、{少|すこ}し{手伝|て|つだ}ってください。」,A: 「저기요 이것 좀 도와주세요.」,{何|なん}と{答|こた}えますか。,はい、いいですよ。,いいえ、ちがいます。,どういたしまして。,-,1
jlpt.n5.listening.0004,N5,課題理解,A:「もしもし、{今日|きょう}のパーティーのことですが。」B:「あ、{田中|た|なか}さん。{飲|の}み{物|もの}はもう{買|か}いましたよ。」A:「じゃあ、わたしはケーキを{買|か}っていきます。」B:「ケーキはわたしが{作|つく}りますから、だいじょうぶです。くだものをおねがいします。」A:「わかりました。」,A: 여보세요 오늘 파티 말인데요. B: 아 다나카 씨. 마실 것은 벌써 샀어요. A: 그럼 저는 케이크를 사 갈게요. B: 케이크는 제가 만드니까 괜찮아요. 과일을 부탁해요. A: 알겠습니다.,{田中|た|なか}さんは{何|なに}を{買|か}っていきますか。,{飲|の}み{物|もの},ケーキ,くだもの,パン,3
jlpt.n5.listening.0005,N5,ポイント理解,A:「{山田|やま|だ}さん、{明日|あした}の{映画|えい|が}は{何時|なん|じ}からですか。」B:「{午後|ご|ご}{二|に}{時|じ}からですよ。」A:「じゃあ、{一|いち}{時|じ}に{駅|えき}で{会|あ}いましょうか。」B:「そうですね。でも、{昼|ひる}ご{飯|はん}を{食|た}べてから{行|い}きたいですから、{十二|じゅう|に}{時|じ}はどうですか。」A:「わかりました。{十二|じゅう|に}{時|じ}に{会|あ}いましょう。」,A: 야마다 씨 내일 영화는 몇 시부터예요? B: 오후 2시부터예요. A: 그럼 1시에 역에서 만날까요? B: 글쎄요. 그런데 점심을 먹고 나서 가고 싶으니까 12시는 어때요? A: 알겠어요. 12시에 만나요.,{二人|ふたり}は{何時|なん|じ}に{会|あ}いますか。,{十二|じゅう|に}{時|じ},{一|いち}{時|じ},{二|に}{時|じ},{三|さん}{時|じ},1
jlpt.n5.listening.0006,N5,即時応答,A:「すみません、この{本|ほん}を{借|か}りてもいいですか。」,A: 저기요 이 책을 빌려도 될까요?,{何|なん}と{答|こた}えますか。,はい、どうぞ。,いいえ、{本|ほん}です。,どういたしまして。,-,1
jlpt.n5.listening.0007,N5,課題理解,A:「せんせい、しゅくだいはどこに{出|だ}しますか。」B:「つくえの{上|うえ}に{出|だ}してください。あ、{名前|な|まえ}を{書|か}くのをわすれないでください。」A:「はい。いつまでですか。」B:「{金曜日|きん|よう|び}までです。」A:「わかりました。」,A: 선생님 숙제는 어디에 내나요? B: 책상 위에 내세요. 아 이름 쓰는 것을 잊지 마세요. A: 네. 언제까지예요? B: 금요일까지예요. A: 알겠습니다.,{学生|がく|せい}はしゅくだいをどこに{出|だ}しますか。,つくえの{上|うえ},せんせいの{家|いえ},{教室|きょう|しつ}の{外|そと},かばんの{中|なか},1
jlpt.n5.listening.0008,N5,ポイント理解,A:「リンさん、きのうのパーティーにきませんでしたね。」B:「すみません。あたまがとてもいたかったんです。」A:「そうですか。だいじょうぶですか。」B:「はい、くすりを{飲|の}んで{早|はや}く{寝|ね}ましたから、もうだいじょうぶです。」,A: 린 씨 어제 파티에 안 왔네요. B: 죄송해요. 머리가 너무 아팠어요. A: 그래요? 괜찮아요? B: 네 약을 먹고 일찍 잤으니까 이제 괜찮아요.,リンさんはきのう{何|なに}がいたかったですか。,あたま,おなか,{足|あし},{目|め},1
jlpt.n5.listening.0009,N5,即時応答,A:「あのう、この{近|ちか}くに{郵便局|ゆう|びん|きょく}はありますか。」,A: 저기 이 근처에 우체국이 있나요?,{何|なん}と{答|こた}えますか。,ええ、あそこにありますよ。,いいえ、{行|い}きました。,{郵便局|ゆう|びん|きょく}をください。,-,1
jlpt.n5.listening.0010,N5,課題理解,A:「もうすぐ{田中|た|なか}さんのたんじょうびですね。{何|なに}をあげましょうか。」B:「そうですね。{花|はな}はどうですか。」A:「いいですね。でも、{本|ほん}のほうがいいと{思|おも}います。{田中|た|なか}さんは{本|ほん}をよく{読|よ}みますから。」B:「そうですね。じゃあ、{本|ほん}にしましょう。」,A: 곧 다나카 씨 생일이네요. 뭘 줄까요? B: 글쎄요. 꽃은 어때요? A: 좋네요. 그런데 책이 더 좋을 것 같아요. 다나카 씨는 책을 자주 읽으니까요. B: 그러네요. 그럼 책으로 해요.,{二人|ふたり}は{田中|た|なか}さんに{何|なに}をあげますか。,{本|ほん},{花|はな},ケーキ,{時計|と|けい},1
jlpt.n5.listening.0011,N5,ポイント理解,A:「あしたいっしょに{勉強|べん|きょう}しませんか。」B:「いいですね。どこでしましょうか。」A:「{図書館|と|しょ|かん}はどうですか。」B:「{図書館|と|しょ|かん}はしずかですが、あしたはやすみですよ。わたしの{家|いえ}へきませんか。」A:「わかりました。じゃあ、{家|いえ}で{勉強|べん|きょう}しましょう。」,A: 내일 같이 공부하지 않을래요? B: 좋아요. 어디서 할까요? A: 도서관은 어때요? B: 도서관은 조용하지만 내일은 쉬는 날이에요. 우리 집에 오지 않을래요? A: 알겠어요. 그럼 집에서 공부해요.,{二人|ふたり}はどこで{勉強|べん|きょう}しますか。,{図書館|と|しょ|かん},{学校|がっ|こう},{家|いえ},{店|みせ},3
