content_key,level_code,headword,reading,ruby,romaji_ko,pos,conj_type,transitivity,meaning_ko,meaning_ko_alt,example_ja,example_ko,audio_file,source,verify,note
jlpt.n3.vocab.0001,N3,性格,せいかく,{性格|せい|かく},세에카쿠,noun,-,-,성격,기질,{兄|あに}とわたしは{性格|せいかく}が{全|まった}く{違|ちが}います。,형과 저는 성격이 완전히 달라요.,jlpt.n3.vocab.0001.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自分と家族」 자기소개에서 경험·성격을 곁들여 말하기 / ②빈도 zipf 4.77 / 내용어 919위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0002,N3,親戚,しんせき,{親戚|しん|せき},신세키,noun,-,-,친척,일가,{正月|しょうがつ}には{親戚|しんせき}が{集|あつ}まります。,설에는 친척이 모여요.,jlpt.n3.vocab.0002.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自分と家族」 가족·친족 관계를 설명하기 / ②빈도 zipf 4.10 / 내용어 4117위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0003,N3,双子,ふたご,{双子|ふた|ご},후타고,noun,-,-,쌍둥이,-,あの{二人|ふたり}は{双子|ふたご}だそうです。,저 두 사람은 쌍둥이래요.,jlpt.n3.vocab.0003.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自分と家族」 가족 구성을 자세히 소개하기 / ②빈도 zipf 4.22 / 내용어 3276위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0004,N3,育つ,そだつ,{育|そだ}つ,소다츠,verb,g1,vi,자라다,성장하다,わたしは{海|うみ}の{近|ちか}くで{育|そだ}ちました。,저는 바다 근처에서 자랐어요.,jlpt.n3.vocab.0004.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自分と家族」 자기소개에서 성장 배경을 말하기 / ②빈도 zipf 4.44 / 내용어 2140위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0005,N3,育児,いくじ,{育児|いく|じ},이쿠지,noun,suru_noun,vi,육아,-,{育児|いくじ}に{協力|きょうりょく}してくれる{人|ひと}がいます。,육아를 도와주는 사람이 있어요.,jlpt.n3.vocab.0005.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自分と家族」 가정 안의 문제·역할을 상담하기 / ②빈도 zipf 3.89 / 내용어 5890위(모집단 80726); Tanos교차: N2 분류(구시험 기준) — 선정축 판단을 우선해 N3 유지
jlpt.n3.vocab.0006,N3,家事,かじ,{家事|か|じ},카지,noun,suru_noun,vi,집안일,가사,{家事|かじ}は{家族|かぞく}で{分|わ}けています。,집안일은 가족끼리 나누고 있어요.,jlpt.n3.vocab.0006.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自分と家族」 가정 생활의 상황을 자세히 설명하기 / ②빈도 zipf 4.02 / 내용어 4682위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0007,N3,作品,さくひん,{作品|さく|ひん},사쿠힌,noun,-,-,작품,-,この{作品|さくひん}は{世界|せかい}で{高|たか}く{評価|ひょうか}されています。,이 작품은 세계에서 높이 평가받고 있어요.,jlpt.n3.vocab.0007.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 좋아하는 영화·만화의 매력을 자세히 말하기 / ②빈도 zipf 5.35 / 내용어 152위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0008,N3,物語,ものがたり,{物語|もの|がたり},모노가타리,noun,-,-,이야기,스토리,{国|くに}の{昔話|むかしばなし}の{物語|ものがたり}を{友|とも}だちに{話|はな}しました。,고향의 옛날이야기를 친구에게 들려줬어요.,jlpt.n3.vocab.0008.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 자기 나라 옛날이야기를 순서대로 설명하기 / ②빈도 zipf 4.82 / 내용어 807위(모집단 80726); Tanos교차: N3 일치
jlpt.n3.vocab.0009,N3,主人公,しゅじんこう,{主人公|しゅ|じん|こう},슈징코오,noun,-,-,주인공,-,この{小説|しょうせつ}の{主人公|しゅじんこう}は{高校生|こうこうせい}です。,이 소설의 주인공은 고등학생이에요.,jlpt.n3.vocab.0009.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 소설·드라마의 전개를 설명하기 / ②빈도 zipf 4.75 / 순위표 밖; Tanos교차: N1 분류(구시험 기준) — 선정축 판단을 우선해 N3 유지
jlpt.n3.vocab.0010,N3,登場,とうじょう,{登場|とう|じょう},토오조오,noun,suru_noun,vi,등장,-,{新|あたら}しい{人物|じんぶつ}が{登場|とうじょう}してから{面白|おもしろ}くなりました。,새 인물이 등장하고 나서 재미있어졌어요.,jlpt.n3.vocab.0010.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 드라마의 새로운 전개를 요약해 말하기 / ②빈도 zipf 5.24 / 내용어 226위(모집단 80726); Tanos교차: N2 분류(구시험 기준) — 선정축 판단을 우선해 N3 유지
jlpt.n3.vocab.0011,N3,内容,ないよう,{内容|ない|よう},나이요오,noun,-,-,내용,-,{映画|えいが}の{内容|ないよう}について{意見|いけん}を{交換|こうかん}しました。,영화 내용에 대해 의견을 주고받았어요.,jlpt.n3.vocab.0011.m4a,ref_only:jfs_cando_b1+corpus_freq,draft,선정축: ①B1「自由時間と娯楽」 영화·드라마 내용에 코멘트나 의견 교환하기 / ②빈도 zipf 5.24 / 내용어 220위(모집단 80726); Tanos교차: N3 일치
